"feature"	"count"	"frequency"
"CpG_1"	250	1
"CpG_2"	250	1
"Cluster_5"	250	1
"Cluster_1"	249	0.996
"Cluster_4"	246	0.984
"Cluster_2"	241	0.964
"Cluster_3"	227	0.908
"CpG_6"	226	0.904
"CpG_8"	191	0.764
"Cluster_7"	190	0.76
"CpG_9"	174	0.696
"CpG_3"	174	0.696
"CpG_10"	150	0.6
"CpG_5"	122	0.488
"CpG_7"	110	0.44
"CpG_4"	110	0.44
"Cluster_6"	98	0.392
