"feature"	"count"	"frequency"
"Cluster_5"	250	1
"CpG_1"	249	0.996
"Cluster_1"	245	0.98
"CpG_2"	234	0.936
"Cluster_3"	234	0.936
"CpG_3"	234	0.936
"Cluster_4"	182	0.728
"CpG_9"	180	0.72
"CpG_8"	127	0.508
"CpG_6"	118	0.472
"CpG_7"	62	0.248
"Cluster_2"	55	0.22
"Cluster_7"	37	0.148
"CpG_10"	28	0.112
"CpG_4"	21	0.084
"CpG_5"	19	0.076
"Cluster_6"	12	0.048
