"feature"	"count"	"frequency"
"CpG_2"	250	1
"Cluster_5"	250	1
"CpG_1"	249	0.996
"Cluster_1"	249	0.996
"Cluster_2"	239	0.956
"Cluster_3"	233	0.932
"CpG_9"	221	0.884
"CpG_6"	220	0.88
"CpG_3"	210	0.84
"Cluster_4"	206	0.824
"CpG_8"	179	0.716
"Cluster_7"	129	0.516
"CpG_10"	114	0.456
"CpG_7"	106	0.424
"CpG_4"	92	0.368
"CpG_5"	86	0.344
"Cluster_6"	66	0.264
